genre,title,href,author,author_href,difficulty,raiting
Fantasy,90 Minute Storygame: Prepare To Die,https://chooseyourstory.com/story/90_Minute_Storygame_0x3a__Prepare_To_Die.aspx,TheSophia,https://chooseyourstory.com/member/?Username=TheSophia,3,4.15
Fantasy,A Blaze of Glory: Chapter One,https://chooseyourstory.com/story/A_Blaze_of_Glory_0x3a__Chapter_One.aspx,Marmotlord,https://chooseyourstory.com/member/?Username=Marmotlord,4,4.45
Fantasy,A Chosen Hero,https://chooseyourstory.com/story/A_Chosen_Hero.aspx,EbonVasilis,https://chooseyourstory.com/member/?Username=EbonVasilis,5,5.63
Fantasy,A City Lost,https://chooseyourstory.com/story/A_City_Lost.aspx,MrAce321,https://chooseyourstory.com/member/?Username=MrAce321,4,4.61
Fantasy,A Dragon's Legend,https://chooseyourstory.com/story/A_Dragon's_Legend.aspx,Wolfmist,https://chooseyourstory.com/member/?Username=Wolfmist,3,3.63
Fantasy,A Fiery Winter,https://chooseyourstory.com/story/A_Fiery_Winter.aspx,lopz66,https://chooseyourstory.com/member/?Username=lopz66,6,5.37
Fantasy,"A Hero is Born, Episode 2","https://chooseyourstory.com/story/A_Hero_is_Born,_Episode_2.aspx",hugo23,https://chooseyourstory.com/member/?Username=hugo23,3,4.61
Fantasy,A Hero is Born..,https://chooseyourstory.com/story/A_Hero_is_Born_0x2e__0x2e_.aspx,hugo23,https://chooseyourstory.com/member/?Username=hugo23,4,3.95
Fantasy,A Jornada...,https://chooseyourstory.com/story/A_Jornada_0x2e__0x2e__0x2e_.aspx,IvanRox,https://chooseyourstory.com/member/?Username=IvanRox,3,3.10
Fantasy,A Magical Tale,https://chooseyourstory.com/story/A_Magical_Tale.aspx,adventurer,https://chooseyourstory.com/member/?Username=adventurer,3,3.34
Fantasy,A Pirate's Life for Me,https://chooseyourstory.com/story/A_Pirate's_Life_for_Me.aspx,Skyz_26,https://chooseyourstory.com/member/?Username=Skyz_26,4,5.17
Fantasy,A Tale of War: Thragnazil,https://chooseyourstory.com/story/A_Tale_of_War_0x3a__Thragnazil.aspx,TheBossWriter,https://chooseyourstory.com/member/?Username=TheBossWriter,6,4.31
Fantasy,Adventures of a Normal Man,https://chooseyourstory.com/story/Adventures_of_a_Normal_Man.aspx,GrottyStatute74,https://chooseyourstory.com/member/?Username=GrottyStatute74,2,4.35
Fantasy,Antedilluvia,https://chooseyourstory.com/story/Antedilluvia.aspx,Secretstarz7,https://chooseyourstory.com/member/?Username=Secretstarz7,2,4.50
Fantasy,Arakhan's Vengeance,https://chooseyourstory.com/story/Arakhan's_Vengeance.aspx,elfred,https://chooseyourstory.com/member/?Username=elfred,3,6.16
Fantasy,Awakening of the Tower (Roguelike RPG),https://chooseyourstory.com/story/Awakening_of_the_Tower_(Roguelike_RPG).aspx,Negative,https://chooseyourstory.com/member/?Username=Negative,4,5.80
Fantasy,Behemoth,https://chooseyourstory.com/story/Behemoth.aspx,somerandomperson,https://chooseyourstory.com/member/?Username=somerandomperson,6,3.88
Fantasy,Blackbirds,https://chooseyourstory.com/story/Blackbirds.aspx,ninjapitka,https://chooseyourstory.com/member/?Username=ninjapitka,7,6.87
Fantasy,Bloodlines,https://chooseyourstory.com/story/Bloodlines.aspx,Endrew,https://chooseyourstory.com/member/?Username=Endrew,4,3.95
Fantasy,Blue Light Saga,https://chooseyourstory.com/story/Blue_Light_Saga.aspx,CobaltBlaze,https://chooseyourstory.com/member/?Username=CobaltBlaze,4,4.17
Fantasy,Bob and His Adventure,https://chooseyourstory.com/story/Bob_and_His_Adventure.aspx,ohlookitstrang,https://chooseyourstory.com/member/?Username=ohlookitstrang,3,3.26
Fantasy,Bound by Light,https://chooseyourstory.com/story/Bound_by_Light.aspx,MrAce321,https://chooseyourstory.com/member/?Username=MrAce321,4,3.45
Fantasy,Celestial Lies: Chapter One,https://chooseyourstory.com/story/Celestial_Lies_0x3a__Chapter_One.aspx,joshdragon,https://chooseyourstory.com/member/?Username=joshdragon,5,4.65
Fantasy,Celestial Lies: Chapter Two,https://chooseyourstory.com/story/Celestial_Lies_0x3a__Chapter_Two.aspx,joshdragon,https://chooseyourstory.com/member/?Username=joshdragon,5,3.76
Fantasy,Chess Master Stan!,https://chooseyourstory.com/story/Chess_Master_Stan!.aspx,imthechessking,https://chooseyourstory.com/member/?Username=imthechessking,4,4.16
Fantasy,Color Your Own Adventure (webcomic),https://chooseyourstory.com/story/Color_Your_Own_Adventure_(webcomic).aspx,Ama_ColorYOA,https://chooseyourstory.com/member/?Username=Ama_ColorYOA,1,4.93
Fantasy,Conquest: Chapter I,https://chooseyourstory.com/story/Conquest_0x3a__Chapter_I.aspx,giamonic,https://chooseyourstory.com/member/?Username=giamonic,4,3.59
Fantasy,Dad's Father's Day Adventure: 50th Birthday Edition,https://chooseyourstory.com/story/Dad's_Father's_Day_Adventure_0x3a__50th_Birthday_Edition.aspx,LegendaryLoris,https://chooseyourstory.com/member/?Username=LegendaryLoris,3,4.37
Fantasy,De Milite Inprudenti,https://chooseyourstory.com/story/De_Milite_Inprudenti.aspx,BradinDvorak,https://chooseyourstory.com/member/?Username=BradinDvorak,5,5.60
Fantasy,Death Becomes You,https://chooseyourstory.com/story/Death_Becomes_You.aspx,krisspy451,https://chooseyourstory.com/member/?Username=krisspy451,2,3.49
Fantasy,Demons Stole the Sky,https://chooseyourstory.com/story/Demons_Stole_the_Sky.aspx,epiclab,https://chooseyourstory.com/member/?Username=epiclab,6,3.74
Fantasy,Different Universe,https://chooseyourstory.com/story/Different_Universe.aspx,hayesa,https://chooseyourstory.com/member/?Username=hayesa,3,4.01
Fantasy,Discovering Solinelia Island: Chapter 1,https://chooseyourstory.com/story/Discovering_Solinelia_Island_0x3a__Chapter_1.aspx,TheSophia,https://chooseyourstory.com/member/?Username=TheSophia,3,3.58
Fantasy,Dragon Tale,https://chooseyourstory.com/story/Dragon_Tale.aspx,Alexbeta76,https://chooseyourstory.com/member/?Username=Alexbeta76,3,3.36
Fantasy,Dreamtruder,https://chooseyourstory.com/story/Dreamtruder.aspx,Mystic_Warrior,https://chooseyourstory.com/member/?Username=Mystic_Warrior,4,6.52
Fantasy,Dungeon Stompage!,https://chooseyourstory.com/story/Dungeon_Stompage!.aspx,BerkaZerka,https://chooseyourstory.com/member/?Username=BerkaZerka,7,7.20
Fantasy,ENG4U1 Seminar Game,https://chooseyourstory.com/story/ENG4U1_Seminar_Game.aspx,pseudomania,https://chooseyourstory.com/member/?Username=pseudomania,4,4.40
Fantasy,Era of Shadows: The Cloaked Dagger,https://chooseyourstory.com/story/Era_of_Shadows_0x3a__The_Cloaked_Dagger.aspx,ItanoCircus,https://chooseyourstory.com/member/?Username=ItanoCircus,3,5.24
Fantasy,Escape the Snow Cave,https://chooseyourstory.com/story/Escape_the_Snow_Cave.aspx,Lifina,https://chooseyourstory.com/member/?Username=Lifina,4,3.46
Fantasy,Extinct,https://chooseyourstory.com/story/Extinct.aspx,Saika,https://chooseyourstory.com/member/?Username=Saika,2,3.87
Fantasy,Extra Life,https://chooseyourstory.com/story/Extra_Life.aspx,Kamayla,https://chooseyourstory.com/member/?Username=Kamayla,4,4.72
